topic,relatedness,text,date,group,likes,reposts,views
фестиваль,0.1703,"Карельские пословицы, поговорки, загадки.  С переводом. Составитель Макаров Г. Н. 1959 год.",2020-12-05 11:00:05,,48,18,4141
фестиваль,0.1703,"Карельские пословицы, поговорки, загадки.  С переводом. Составитель Макаров Г. Н. 1959 год.",2020-12-05 11:00:05,,48,18,4204
фестиваль,0.1298,"⚡Карельские эпические песни или карельские руны относятся к наиболее древним жанрам карельского фольклора.  До настоящего времени самыми ранними записями карельских эпических песен являются материалы, собранные финскими учеными в конце XVIII – начале XIX в.  Знаковым событием в изучении карельской эпической традиции считается публикация в 1822–1831 гг. сборника С. Топелиуса-старшего, в котором впервые были опубликованы образцы карельских эпических песен.   📖 ""Народы Карелии"", отв. ред. И.Ю. Винокурова  📸 И.К. Инха, Братья Яманены Трихво и Поавила показывают, как раньше пели руны.   #ГодКарельскихРун",2020-12-26 18:04:24,,54,12,1941
фестиваль,0.1254,"Проверь свои знания! Вопрос от Маркку Ниеминена с викторины ""Я и Калевала"".",2015-03-02 14:18:31,,10,2,0
фестиваль,0.1028,Кинохроника старого Валаама:,2020-12-23 22:17:52,,62,41,2285
фестиваль,0.0958,"ILOKONTTI (букв. кошель радости) - это полный набор карельского юмора, который содержит 625 традиционных вещей: знакомые и менее знакомые анекдоты, трогательные воспоминания, едкие фразы и прозвища. В той или иной степени здесь представлены все районы утерянной Карелии.  Период охватывает время с начала столетия и до середины 1980-х гг. По причине своей восприимчивости, угловатости и остроты языка - или же независимо от этого - карельские женщины, мужчины и дети смогли выжить как в войну, так и мирное время, как среди чужих, так и своих.  Карелия как место столкновения запада и востока всегда была плодородной почвой для юмора. Уникальный последний штрих карелы получили вследствие драматических событий недавнего прошлого. У карел мы можем научиться тому, что и самая значительная комедия включает всегда и долю трагедии. С другой стороны, и в самой мрачной трагедии можно отыскать - и нужно находить - также и смешные стороны.  - Не плачу хотя слёзы из глаз и льются.",2018-09-06 15:04:05,,9,0,185
фестиваль,0.0958,"ILOKONTTI (букв. кошель радости) - это полный набор карельского юмора, который содержит 625 традиционных вещей: знакомые и менее знакомые анекдоты, трогательные воспоминания, едкие фразы и прозвища. В той или иной степени здесь представлены все районы утерянной Карелии.  Период охватывает время с начала столетия и до середины 1980-х гг. По причине своей восприимчивости, угловатости и остроты языка - или же независимо от этого - карельские женщины, мужчины и дети смогли выжить как в войну, так и мирное время, как среди чужих, так и своих.  Карелия как место столкновения запада и востока всегда была плодородной почвой для юмора. Уникальный последний штрих карелы получили вследствие драматических событий недавнего прошлого. У карел мы можем научиться тому, что и самая значительная комедия включает всегда и долю трагедии. С другой стороны, и в самой мрачной трагедии можно отыскать - и нужно находить - также и смешные стороны.  - Не плачу хотя слёзы из глаз и льются.",2018-09-06 15:04:05,,9,0,185
фестиваль,0.0957,https://pamyat-naroda.ru/heroes/podvig-chelovek_nagrazhdenie80682445/?backurl=%2Fheroes%2F%3Ffirst_name%3D%D0&,2020-06-23 20:17:15,,6,0,0
фестиваль,0.0954,Теперь в Kyykkä играют и в США.    ========================,2018-12-08 08:09:34,,16,0,367
фестиваль,0.0947,"Kilbu ""Pajata karjalakse!"". Ozanottajat da voittajat!",2018-12-09 18:30:31,,83,15,3429
фестиваль,0.0884,"▌КЮККЯ – старинная народная карельская игра, зародившаяся в Беломорской Карелии. Игра бытовала на территории Карелии столетия назад, а затем вместе с иммигрантами перекочевала в Финляндию. За почти два столетия существования игры, которую также называют «карельскими городками», правила ее практически не изменились. Правда, на долгие годы эта народная забава была забыта, пока в 50-х годах XX века ее не возродили карелы, проживающие на территории Финляндии. В 1991 году кюккя вернулась в Калевалу. Вот уже более 20 лет жители поселка играют в неё практически круглый год.",2016-07-17 15:52:57,,1,0,0
фестиваль,0.0874,"А вы знали,что мы играем в игру, которую ""придумал Александр Невский для своих офицеров, для развития руки..."" ;)   https://www.moya-planeta.ru/reports/view/seligerskie_rjuhi_32405/",2017-09-12 13:07:38,,1,0,0
фестиваль,0.0862,Мультфильм Карельская сказка про Барана и Козла,2025-01-13 17:30:00,,198,122,13064
фестиваль,0.075,"Игры, в которые играют карелы! И не только....  #Новости@karjalanrahvahanliitto",2024-10-25 10:56:08,,22,10,634
